steps,timer_ciph_comp_vec_FD,timer_ciph_conf_vec_FD,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_FD,timer_plain_conf_vec_FD,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
14.0,45.282425216,111.90229881200001,93.00615904300001,148.2708514,1.588100000000014e-5,6.120000000000001e-6,3.723099999999998e-5,1.1961000000000001e-5
15.0,47.911914235000005,111.90229881200001,99.423131169,148.2708514,1.665100000000034e-5,6.120000000000001e-6,3.8671000000000105e-5,1.1961000000000001e-5
16.0,50.202953820000005,111.90229881200001,104.243606946,148.2708514,1.7591000000000395e-5,6.120000000000001e-6,4.083100000000029e-5,1.1961000000000001e-5
17.0,52.472471942000006,111.90229881200001,108.25114616900001,148.2708514,1.8761000000000385e-5,6.120000000000001e-6,4.26710000000002e-5,1.1961000000000001e-5
18.0,54.604914907,111.90229881200001,112.04227862600001,148.2708514,1.9410999999999994e-5,6.120000000000001e-6,4.433100000000032e-5,1.1961000000000001e-5
19.0,56.702645228,111.90229881200001,115.23661174,148.2708514,2.0001000000000393e-5,6.120000000000001e-6,4.6931000000000056e-5,1.1961000000000001e-5
20.0,58.719827847000005,111.90229881200001,118.60502745500001,148.2708514,2.0941000000000015e-5,6.120000000000001e-6,4.8541000000000036e-5,1.1961000000000001e-5
21.0,60.669265849000006,111.90229881200001,121.84702522,148.2708514,2.1801000000000112e-5,6.120000000000001e-6,4.985100000000006e-5,1.1961000000000001e-5
22.0,62.516099834,111.90229881200001,125.32817319700001,148.2708514,2.2401000000000018e-5,6.120000000000001e-6,5.2461000000000174e-5,1.1961000000000001e-5
23.0,64.29689000900001,111.90229881200001,128.181133619,148.2708514,2.30110000000003e-5,6.120000000000001e-6,5.3971000000000314e-5,1.1961000000000001e-5
24.0,65.999151768,111.90229881200001,130.901337074,148.2708514,2.3811000000000318e-5,6.120000000000001e-6,5.567100000000019e-5,1.1961000000000001e-5
25.0,67.66561823400001,111.90229881200001,133.882186491,148.2708514,2.4881000000000035e-5,6.120000000000001e-6,5.736100000000013e-5,1.1961000000000001e-5
26.0,69.21849222200001,111.90229881200001,136.608270847,148.2708514,2.570100000000037e-5,6.120000000000001e-6,6.050200000000004e-5,1.1961000000000001e-5
27.0,70.71680454300001,111.90229881200001,139.013901655,148.2708514,2.6471000000000133e-5,6.120000000000001e-6,6.200200000000024e-5,1.1961000000000001e-5
28.0,72.11407953700001,111.90229881200001,141.53392797,148.2708514,2.7091000000000354e-5,6.120000000000001e-6,6.41820000000003e-5,1.1961000000000001e-5
29.0,73.471087198,111.90229881200001,143.645211676,148.2708514,2.767100000000038e-5,6.120000000000001e-6,6.551200000000021e-5,1.1961000000000001e-5
30.0,74.724784055,111.90229881200001,145.690365468,148.2708514,2.832099999999999e-5,6.120000000000001e-6,6.712200000000019e-5,1.1961000000000001e-5
31.0,75.818759618,111.90229881200001,147.47380971500002,148.2708514,2.9451000000000217e-5,6.120000000000001e-6,6.850200000000023e-5,1.1961000000000001e-5
32.0,76.83029028700001,111.90229881200001,149.50505802200001,148.2708514,3.0161000000000337e-5,6.120000000000001e-6,7.114200000000017e-5,1.1961000000000001e-5
33.0,77.820957766,111.90229881200001,150.988201264,148.2708514,3.07510000000003e-5,6.120000000000001e-6,7.395199999999996e-5,1.1961000000000001e-5
34.0,78.72724926400001,111.90229881200001,152.438925003,148.2708514,3.137100000000009e-5,6.120000000000001e-6,7.568200000000009e-5,1.1961000000000001e-5
35.0,79.596984448,111.90229881200001,153.71826212300002,148.2708514,3.209100000000015e-5,6.120000000000001e-6,7.708200000000002e-5,1.1961000000000001e-5
36.0,80.38643545400001,111.90229881200001,155.120884445,148.2708514,3.299100000000001e-5,6.120000000000001e-6,7.861200000000004e-5,1.1961000000000001e-5
37.0,81.1489524,111.90229881200001,156.556049472,148.2708514,3.366100000000037e-5,6.120000000000001e-6,7.99720000000002e-5,1.1961000000000001e-5
