length,sol_ciph_FD,sol_ciph_LW,sol_exact
64.0,-0.18143190469842554,-0.07136798667717421,-0.0693085845995457
64.0,-0.17251202248482894,-0.07799414764983204,-0.07576827408347259
64.0,-0.16193078531648009,-0.0838700360392373,-0.08149827366882384
64.0,-0.1497906693210445,-0.08893882885082662,-0.08644340032725613
64.0,-0.13620717643407795,-0.09315097129059598,-0.09055602978576752
64.0,-0.12131174485062012,-0.09646650169428118,-0.09379655517448063
64.0,-0.10524855595501811,-0.09885141271853667,-0.0961337684624508
64.0,-0.08817118587888002,-0.10028387157663603,-0.09754516100806404
64.0,-0.07024533046375307,-0.10074975441172737,-0.0980171403295605
64.0,-0.05164280138332872,-0.10024714074599521,-0.09754516100806404
64.0,-0.03254284610305015,-0.09878083539726225,-0.09613376846245081
64.0,-0.01312983207207722,-0.09636118724813207,-0.09379655517448064
64.0,0.006410303901319546,-0.09301376430979072,-0.09055602978576754
64.0,0.025888155888609522,-0.08876877269354669,-0.08644340032725616
64.0,0.045116962266375016,-0.08367111806349292,-0.08149827366882388
64.0,0.06391078083030627,-0.0777653997374122,-0.07576827408347263
64.0,0.0820899435723645,-0.07111393586697447,-0.06930858459954575
64.0,0.09947784588374632,-0.06377562923946906,-0.0621814155579988
64.0,0.11590819946703507,-0.055823822233857325,-0.054455405492809
64.0,0.13122241817338617,-0.047336339077106,-0.046204960104370765
64.0,0.1452724531605311,-0.0383902042050998,-0.037509535691926964
64.0,0.15792371715517436,-0.02907380196697614,-0.028452873945971936
64.0,0.16905370794704538,-0.019481340827060833,-0.019122195469993972
64.0,0.1785559153462336,-0.009696929324227957,-0.009607359798384781
64.0,0.18373638468486503,-9.409126151924322e-5,-4.778334768033569e-17
64.0,0.19664942563262808,0.019287542305177773,0.01912219546999394
64.0,0.20766876282595859,0.038487870488405934,0.03806023374435671
64.0,0.2166883431780097,0.05731762792554918,0.05663173116192099
64.0,0.22362113221119684,0.07559718015450051,0.07465783405034282
64.0,0.22839949727152542,0.09314301258201328,0.09196494118473614
64.0,0.23097839281187788,0.1097934129106205,0.10838637566236979
64.0,0.23133366516222265,0.1253868947840853,0.12376399009235504
64.0,0.22946042042361317,0.13977153993671754,0.13794968964147178
64.0,0.22537702683809616,0.15281441748838168,0.15080685826836993
64.0,0.21912359952574317,0.16438075654610898,0.16221167441072926
64.0,0.21075995132434602,0.17436730708630258,0.1720543034545919
64.0,0.20036720815283296,0.18267308300608423,0.18023995550173735
64.0,0.1880442715919354,0.1892219382890782,0.18668979824821894
64.0,0.17391055376688297,0.1939470365907978,0.1913417161825453
64.0,0.15810191122627315,0.1968050330809433,0.19415090879201194
64.0,0.14077013490284196,0.19776701419434844,0.19509032201612872
64.0,0.12208326910324158,0.19682096771734203,0.19415090879201194
64.0,0.10222021073414791,0.19398521057024243,0.19134171618254536
64.0,0.08137337311989908,0.18927838518298232,0.18668979824821894
64.0,0.05974253790155995,0.18274792907237616,0.18023995550173738
64.0,0.037535591257593294,0.1744586236172331,0.172054303454592
64.0,0.01496809087189813,0.16448975476982353,0.1622116744107293
64.0,-0.007744536818563649,0.15293486464422948,0.15080685826837012
64.0,-0.030381360431239027,0.13990970040772555,0.13794968964147197
64.0,-0.052726707470224246,0.12553581983447223,0.12376399009235503
64.0,-0.07456369734022911,0.10995296260231192,0.10838637566236987
64.0,-0.09568214751756694,0.09331041853747117,0.09196494118473623
64.0,-0.11587997612788822,0.0757716354796592,0.07465783405034292
64.0,-0.13496173383060334,0.05749936791083895,0.056631731161921266
64.0,-0.15274285830640918,0.03867601967351212,0.03806023374435665
64.0,-0.16905362060708987,0.0194787699568791,0.01912219546999406
64.0,-0.18373665388582178,9.652159632851063e-5,7.167502152050353e-17
64.0,-0.19664941859710153,-0.019290199594180806,-0.019122195469993917
64.0,-0.20766850405100515,-0.038488608291490936,-0.03806023374435651
64.0,-0.21668823308818633,-0.05731841340907676,-0.05663173116192113
64.0,-0.2236202509528871,-0.07559349016937003,-0.07465783405034279
64.0,-0.22839887691275867,-0.09314095879134843,-0.09196494118473612
64.0,-0.23097884151890974,-0.1097947015928133,-0.10838637566236978
64.0,-0.23133258585939875,-0.12538789744550616,-0.12376399009235492
64.0,-0.22946032279218442,-0.13977485652643648,-0.1379496896414719
64.0,-0.22537739333200243,-0.15281437695910058,-0.15080685826837004
64.0,-0.21912392500171166,-0.16438334963830595,-0.16221167441072923
64.0,-0.21076114991031197,-0.17436778500982922,-0.1720543034545919
64.0,-0.20036732358990822,-0.1826756751287134,-0.18023995550173733
